Name,State,Latitude,Longitude,Status,Commodity Group,,,,,
Kookaburra Gully,SA,-34.4002,135.9107,Mineral deposit,Graphite,,,,,
Koppamurra,SA,-36.8278,140.8489,Mineral deposit,Rare Earth Elements (REE),,,,,
Koppio,SA,-34.4274,135.9072,Mineral deposit,Graphite,,,,,
Korella,QLD,-21.9388,139.9757,Mineral deposit,Rare Earth Elements (REE),,,,,
Kulwin-Woornack,VIC,-35.0568,142.6320,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Kunwarara,QLD,-22.8814,150.1869,Operating mine,Magnesium,,,,,
Kuridala,QLD,-21.2751,140.5060,Mineral deposit,Cobalt,,,,,
Lagoon Hill,QLD,-23.0744,150.2192,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Lake Hope,WA,-32.4100,120.2500,Mineral deposit,High Purity Alumina,,,,,
Lake Maitland,WA,-27.1772,121.0819,Mine - under development,Vanadium,,,,,
Lake Rebecca,WA,-30.0655,122.3570,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Lanfranchi,WA,-31.5055,121.8429,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE,,,,,
Larkin Find,WA,-29.4663,122.2577,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Lava Plains,QLD,-18.4363,144.7563,Mineral deposit,High Purity Alumina,,,,,
Lawlers,WA,-28.0967,120.6405,Mineral deposit,Magnesium,,,,,
Leinster,WA,-28.1674,120.9166,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Lighthouse,QLD,-18.3944,144.1733,Mine - care and maintenance,Silicon (High purity silica/quartz),,,,,
Lucky Bay,WA,-28.0294,114.1831,Operating mine,Titanium,,,,,
Lucky Break,QLD,-19.4796,145.6908,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Lyons,WA,-23.9875,116.3505,Mineral deposit,Rare Earth Elements (REE),,,,,
Lyons River,TAS,-41.2185,145.4014,Mineral deposit,Magnesium,,,,,
Maggie Hays,WA,-32.2225,120.5170,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE,,,,,
Main Creek,TAS,-41.5398,145.1618,Mineral deposit,Magnesium,,,,,
Maitland,QLD,-18.9763,144.4036,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Malinda,WA,-24.5056,116.2722,Mineral deposit,Lithium +/- Tantalum +/- Niobium,,,,,
Mangaroon,WA,-23.9560,116.0330,Mineral deposit,Rare Earth Elements (REE),,,,,
Manna,WA,-30.8700,122.5300,Mineral deposit,Lithium +/- Tantalum +/- Niobium,,,,,
